identifiant_dsp;code_postal;ville;field13;type_de_station;emplacement;nom_de_la_station;places_autolib;places_recharge_tiers;nombre_total_de_places
92063-16;92500;Rueil-Malmaison;48.87586, 2.169697;Station;Voirie;Rueil-Malmaison/Napoléon Bonaparte/26;6;0;6
92063-21;92500;Rueil-Malmaison;48.87651, 2.200921;Station;Voirie;Rueil-Malmaison/Lieutenant Colonel Driant/11;5;0;5
92073-08;92150;Suresnes;48.8766119, 2.2218839;Station;Voirie;Suresnes/Huché/26;6;0;6
92075-05;92170;Vanves;48.8258129, 2.2906328;Station;Voirie;Vanves/Jean Jaurès/101;6;0;6
92099-02;92400;Courbevoie;48.89238, 2.245286;Espace;Voirie;Courbevoie/André Prothin/12;5;0;5
93029-11;93700;Drancy;48.92347, 2.460301;Station;Voirie;Drancy/Henri Barbusse/236;4;0;4
93063-01;93230;Romainville;48.87798, 2.44464;Station;Voirie;Romainville/Marcel Ethis/15;6;0;6
93064-02;93110;Rosny-sous-Bois;48.87052, 2.486372;Station;Voirie;Rosny-sous-Bois/Jean Jaurès/5;6;0;6
93064-04;93110;Rosny-sous-Bois;48.88093, 2.472356;Station;Voirie;Rosny-sous-Bois/Lisbonne/16;6;0;6
93070-06;93400;Saint-Ouen;48.9178855, 2.3323373;Station;Voirie;Saint-Ouen/Moutier/1;4;0;4
93070-07;93400;Saint-Ouen;48.912077, 2.333149;Espace;Voirie;Saint-Ouen/Paul Lafargue/13;6;0;6
94003-04;94110;Arcueil;48.807283, 2.3339929;Espace;Voirie;Arcueil/République/39;5;0;5
94028-03;94000;Créteil;48.778891, 2.455066;Espace;Voirie;Créteil/France Libre/38;6;0;6
94028-08;94000;Créteil;48.78363, 2.456881;Station;Voirie;Créteil/Archives/5;6;0;6
94028-11;94000;Créteil;48.7784312, 2.4623984;Station;Voirie;Créteil/Gabriel Fauré/18;6;0;6
94028-16;94000;Créteil;48.7912032, 2.4504989;Station;Voirie;Créteil/Denfert Rochereau/12;6;0;6
94044-05;94450;Limeil-Brévannes;48.7508, 2.473075;Station;Voirie;Limeil-Brévannes/Ruelle de Paris/5;7;0;7
94046-09;94700;Maisons-Alfort;48.8094628, 2.4344314;Station;Voirie;Maisons-Alfort/Leclerc/145;6;0;6
94069-PA;94410;Saint-Maurice;48.814875, 2.4592711;Station;Parking;Saint-Maurice/Montgolfier/Parking;6;0;6
94076-03;94800;Villejuif;48.795504, 2.367414;Espace;Voirie;Villejuif/Paul Vaillant Couturier/9;6;0;6
75101-14;75001;Paris;48.8588109, 2.3449501;Station;Voirie;Paris/Bertin Poirée/14;4;0;4
75102-01;75002;Paris;48.8680082, 2.3508835;Station;Voirie;Paris/Alexandrie/7;4;0;4
75102-10;75002;Paris;48.86502, 2.344388;Station;Voirie;Paris/Étienne Marcel/36;4;1;5
75103-02;75003;Paris;48.865753, 2.3533572;Station;Voirie;Paris/Saint Martin/243;4;1;5
75103-11;75003;Paris;48.8635527, 2.3612023;Espace;Voirie;Paris/Bretagne/51;4;1;5
75103-14;75003;Paris;48.8633367, 2.3526978;Station;Voirie;Paris/Saint-Martin/204;4;0;4
75104-13;75004;Paris;48.8541989, 2.345341;Station;Voirie;Paris/Marché Neuf/8;4;1;5
75105-20;75005;Paris;48.8410649, 2.352048;Station;Voirie;Paris/Monge/99;4;1;5
75106-06;75006;Paris;48.8473613, 2.3263246;Station;Voirie;Paris/Saint Placide/58;4;1;5
75107-11;75007;Paris;48.85206, 2.314345;Station;Voirie;Paris/Invalides/32;4;0;4
75108-02;75008;Paris;48.87593, 2.314194;Station;Voirie;Paris/Messine/12;4;1;5
75108-04;75008;Paris;48.8657733, 2.3084191;Station;Voirie;Paris/Francois 1er/7;5;0;5
75108-07;75008;Paris;48.872047, 2.3131252;Station;Voirie;Paris/Saint-Honoré/91;4;0;4
75108-08;75008;Paris;48.8731075, 2.3097967;Station;Voirie;Paris/Saint-Honoré/123;4;0;4
75108-13;75008;Paris;48.8746335, 2.3062488;Station;Voirie;Paris/Saint-Honoré/161;4;0;4
75108-15;75008;Paris;48.8683003, 2.3237257;Station;Voirie;Paris/Saint-Honoré/422;4;0;4
75108-25;75008;Paris;48.875556, 2.319321;Station;Voirie;Paris/Saint-Augustin/9;4;0;4
75109-02;75009;Paris;48.8699421, 2.32731;Station;Voirie;Paris/Madeleine/8;5;0;5
75109-03;75009;Paris;48.8774174, 2.3465915;Station;Voirie;Paris/Rochambeau/6;4;0;4
75109-04;75009;Paris;48.8800786, 2.3455235;Station;Voirie;Paris/Turgot/4;4;1;5
75110-08;75010;Paris;48.8750753, 2.3523208;Station;Voirie;Paris/Paradis/28;4;0;4
75110-10;75010;Paris;48.8702567, 2.3600462;Station;Voirie;Paris/Pierre Chausson/1;4;0;4
75111-02;75011;Paris;48.8584385, 2.3800903;Espace;Voirie;Paris/Parmentier/2;4;1;5
75111-04;75011;Paris;48.85189, 2.376434;Station;Voirie;Paris/Ledru Rollin/104;4;1;5
75111-05;75011;Paris;48.8657658, 2.3664376;Station;Voirie;Paris/Voltaire/8;4;0;4
75111-06;75011;Paris;48.8546037, 2.3851992;Station;Voirie;Paris/Voltaire/182;4;1;5
75111-12;75011;Paris;48.8619069, 2.3735705;Station;Voirie;Paris/Voltaire/59;4;1;5
75111-19;75011;Paris;48.8686522, 2.374656;Station;Voirie;Paris/Saint-Maur/157;4;0;4
75111-20;75011;Paris;48.857259, 2.37139;Station;Voirie;Paris/Richard Lenoir/36;4;0;4
75111-30;75011;Paris;48.8640621, 2.3713985;Station;Voirie;Paris/Richard Lenoir/110;4;1;5
75111-33;75011;Paris;48.8615346, 2.3809277;Station;Voirie;Paris/Saint-Maur/36;4;0;4
75112-11;75012;Paris;48.8476733, 2.377312;Station;Voirie;Paris/Charenton/97;4;0;4
